Home,Score,Away
Galatasaray ,2–2, Copenhagen
Bayern Munich ,4–3, Manchester United
Manchester United ,2–3, Galatasaray
Copenhagen ,1–2, Bayern Munich
Galatasaray ,1–3, Bayern Munich
Manchester United ,1–0, Copenhagen
Bayern Munich ,2–1, Galatasaray
Copenhagen ,4–3, Manchester United
Galatasaray ,3–3, Manchester United
Bayern Munich ,0–0, Copenhagen
Manchester United ,0–1, Bayern Munich
Copenhagen ,1–0, Galatasaray
Sevilla ,1–1, Lens
Arsenal ,4–0, PSV Eindhoven
Lens ,2–1, Arsenal
PSV Eindhoven ,2–2, Sevilla
Sevilla ,1–2, Arsenal
Lens ,1–1, PSV Eindhoven
Arsenal ,2–0, Sevilla
PSV Eindhoven ,1–0, Lens
Sevilla ,2–3, PSV Eindhoven
Arsenal ,6–0, Lens
Lens ,2–1, Sevilla
PSV Eindhoven ,1–1, Arsenal
Real Madrid ,1–0, Union Berlin
Braga ,1–2, Napoli
Union Berlin ,2–3, Braga
Napoli ,2–3, Real Madrid
Braga ,1–2, Real Madrid
Union Berlin ,0–1, Napoli
Napoli ,1–1, Union Berlin
Real Madrid ,3–0, Braga
Real Madrid ,4–2, Napoli
Braga ,1–1, Union Berlin
Napoli ,2–0, Braga
Union Berlin ,2–3, Real Madrid
Real Sociedad ,1–1, Inter Milan
Benfica ,0–2, Red Bull Salzburg
Red Bull Salzburg ,0–2, Real Sociedad
Inter Milan ,1–0, Benfica
Inter Milan ,2–1, Red Bull Salzburg
Benfica ,0–1, Real Sociedad
Real Sociedad ,3–1, Benfica
Red Bull Salzburg ,0–1, Inter Milan
Benfica ,3–3, Inter Milan
Real Sociedad ,0–0, Red Bull Salzburg
Inter Milan ,0–0, Real Sociedad
Red Bull Salzburg ,1–3, Benfica
Feyenoord ,2–0, Celtic
Lazio ,1–1, Atlético Madrid
Atlético Madrid ,3–2, Feyenoord
Celtic ,1–2, Lazio
Feyenoord ,3–1, Lazio
Celtic ,2–2, Atlético Madrid
Atlético Madrid ,6–0, Celtic
Lazio ,1–0, Feyenoord
Lazio ,2–0, Celtic
Feyenoord ,1–3, Atlético Madrid
Atlético Madrid ,2–0, Lazio
Celtic ,2–1, Feyenoord
Milan ,0–0, Newcastle United
Paris Saint-Germain ,2–0, Borussia Dortmund
Borussia Dortmund ,0–0, Milan
Newcastle United ,4–1, Paris Saint-Germain
Paris Saint-Germain ,3–0, Milan
Newcastle United ,0–1, Borussia Dortmund
Borussia Dortmund ,2–0, Newcastle United
Milan ,2–1, Paris Saint-Germain
Paris Saint-Germain ,1–1, Newcastle United
Milan ,1–3, Borussia Dortmund
Borussia Dortmund ,1–1, Paris Saint-Germain
Newcastle United ,1–2, Milan
Young Boys ,1–3, RB Leipzig
Manchester City ,3–1, Red Star Belgrade
RB Leipzig ,1–3, Manchester City
Red Star Belgrade ,2–2, Young Boys
RB Leipzig ,3–1, Red Star Belgrade
Young Boys ,1–3, Manchester City
Manchester City ,3–0, Young Boys
Red Star Belgrade ,1–2, RB Leipzig
Manchester City ,3–2, RB Leipzig
Young Boys ,2–0, Red Star Belgrade
RB Leipzig ,2–1, Young Boys
Red Star Belgrade ,2–3, Manchester City
Barcelona ,5–0, Antwerp
Shakhtar Donetsk ,1–3, Porto
Antwerp ,2–3, Shakhtar Donetsk
Porto ,0–1, Barcelona
Barcelona ,2–1, Shakhtar Donetsk
Antwerp ,1–4, Porto
Shakhtar Donetsk ,1–0, Barcelona
Porto ,2–0, Antwerp
Shakhtar Donetsk ,1–0, Antwerp
Barcelona ,2–1, Porto
Porto ,5–3, Shakhtar Donetsk
Antwerp ,3–2, Barcelona
Porto ,1–0, Arsenal
Arsenal ,1–0 (a.e.t.), Porto
Napoli ,1–1, Barcelona
Barcelona ,3–1, Napoli
Paris Saint-Germain ,2–0, Real Sociedad
Real Sociedad ,1–2, Paris Saint-Germain
Inter Milan ,1–0, Atlético Madrid
Atlético Madrid ,2–1 (a.e.t.), Inter Milan
PSV Eindhoven ,1–1, Borussia Dortmund
Borussia Dortmund ,2–0, PSV Eindhoven
Lazio ,1–0, Bayern Munich
Bayern Munich ,3–0, Lazio
Copenhagen ,1–3, Manchester City
Manchester City ,3–1, Copenhagen
RB Leipzig ,0–1, Real Madrid
Real Madrid ,1–1, RB Leipzig
Arsenal ,v, Bayern Munich
Bayern Munich ,v, Arsenal
Atlético Madrid ,v, Borussia Dortmund
Borussia Dortmund ,v, Atlético Madrid
Real Madrid ,v, Manchester City
Manchester City ,v, Real Madrid
Paris Saint-Germain ,v, Barcelona
Barcelona ,v, Paris Saint-Germain
Winners of quarter-final 2,v,Winners of quarter-final 4
Winners of quarter-final 4,v,Winners of quarter-final 2
Winners of quarter-final 1,v,Winners of quarter-final 3
Winners of quarter-final 3,v,Winners of quarter-final 1
Winners of semi-final 1 ,v, Winners of semi-final 2
