Home,Away,GF,GC
Galatasaray,Copenhagen,2,2
Bayern Munich,Manchester United,4,3
Manchester United,Galatasaray,2,3
Copenhagen,Bayern Munich,1,2
Galatasaray,Bayern Munich,1,3
Manchester United,Copenhagen,1,0
Bayern Munich,Galatasaray,2,1
Copenhagen,Manchester United,4,3
Galatasaray,Manchester United,3,3
Bayern Munich,Copenhagen,0,0
Manchester United,Bayern Munich,0,1
Copenhagen,Galatasaray,1,0
Sevilla,Lens,1,1
Arsenal,PSV Eindhoven,4,0
Lens,Arsenal,2,1
PSV Eindhoven,Sevilla,2,2
Sevilla,Arsenal,1,2
Lens,PSV Eindhoven,1,1
Arsenal,Sevilla,2,0
PSV Eindhoven,Lens,1,0
Sevilla,PSV Eindhoven,2,3
Arsenal,Lens,6,0
Lens,Sevilla,2,1
PSV Eindhoven,Arsenal,1,1
Real Madrid,Union Berlin,1,0
Braga,Napoli,1,2
Union Berlin,Braga,2,3
Napoli,Real Madrid,2,3
Braga,Real Madrid,1,2
Union Berlin,Napoli,0,1
Napoli,Union Berlin,1,1
Real Madrid,Braga,3,0
Real Madrid,Napoli,4,2
Braga,Union Berlin,1,1
Napoli,Braga,2,0
Union Berlin,Real Madrid,2,3
Real Sociedad,Inter Milan,1,1
Benfica,Red Bull Salzburg,0,2
Red Bull Salzburg,Real Sociedad,0,2
Inter Milan,Benfica,1,0
Inter Milan,Red Bull Salzburg,2,1
Benfica,Real Sociedad,0,1
Real Sociedad,Benfica,3,1
Red Bull Salzburg,Inter Milan,0,1
Benfica,Inter Milan,3,3
Real Sociedad,Red Bull Salzburg,0,0
Inter Milan,Real Sociedad,0,0
Red Bull Salzburg,Benfica,1,3
Feyenoord,Celtic,2,0
Lazio,Atlético Madrid,1,1
Atlético Madrid,Feyenoord,3,2
Celtic,Lazio,1,2
Feyenoord,Lazio,3,1
Celtic,Atlético Madrid,2,2
Atlético Madrid,Celtic,6,0
Lazio,Feyenoord,1,0
Lazio,Celtic,2,0
Feyenoord,Atlético Madrid,1,3
Atlético Madrid,Lazio,2,0
Celtic,Feyenoord,2,1
Milan,Newcastle United,0,0
Paris Saint-Germain,Borussia Dortmund,2,0
Borussia Dortmund,Milan,0,0
Newcastle United,Paris Saint-Germain,4,1
Paris Saint-Germain,Milan,3,0
Newcastle United,Borussia Dortmund,0,1
Borussia Dortmund,Newcastle United,2,0
Milan,Paris Saint-Germain,2,1
Paris Saint-Germain,Newcastle United,1,1
Milan,Borussia Dortmund,1,3
Borussia Dortmund,Paris Saint-Germain,1,1
Newcastle United,Milan,1,2
Young Boys,RB Leipzig,1,3
Manchester City,Red Star Belgrade,3,1
RB Leipzig,Manchester City,1,3
Red Star Belgrade,Young Boys,2,2
RB Leipzig,Red Star Belgrade,3,1
Young Boys,Manchester City,1,3
Manchester City,Young Boys,3,0
Red Star Belgrade,RB Leipzig,1,2
Manchester City,RB Leipzig,3,2
Young Boys,Red Star Belgrade,2,0
RB Leipzig,Young Boys,2,1
Red Star Belgrade,Manchester City,2,3
Barcelona,Antwerp,5,0
Shakhtar Donetsk,Porto,1,3
Antwerp,Shakhtar Donetsk,2,3
Porto,Barcelona,0,1
Barcelona,Shakhtar Donetsk,2,1
Antwerp,Porto,1,4
Shakhtar Donetsk,Barcelona,1,0
Porto,Antwerp,2,0
Shakhtar Donetsk,Antwerp,1,0
Barcelona,Porto,2,1
Porto,Shakhtar Donetsk,5,3
Antwerp,Barcelona,3,2
Porto,Arsenal,1,0
Arsenal,Porto,1,0
Napoli,Barcelona,1,1
Barcelona,Napoli,3,1
Paris Saint-Germain,Real Sociedad,2,0
Real Sociedad,Paris Saint-Germain,1,2
Inter Milan,Atlético Madrid,1,0
Atlético Madrid,Inter Milan,2,1
PSV Eindhoven,Borussia Dortmund,1,1
Borussia Dortmund,PSV Eindhoven,2,0
Lazio,Bayern Munich,1,0
Bayern Munich,Lazio,3,0
Copenhagen,Manchester City,1,3
Manchester City,Copenhagen,3,1
RB Leipzig,Real Madrid,0,1
Real Madrid,RB Leipzig,1,1
